id,name,location,description,slug,sponsored,website,global_rank,financials,student_loan_available,campus_student_life,number_of_students,student_to_faculty_ratio,international_student_ratio,housing_availability,admissions_contact,admissions_phone,contact_person,admissions_page_link,immigration_support,university_campuses
,"Jamia Training College Thiruvananthapuram, India",356,"Jamia Training College is a committed Muslim minority B.Ed. teacher training institution affiliated to the University of Kerala, dedicated to providing aspiring educators from the community with a high-quality, values-centred teacher preparation programme. Located in Thiruvananthapuram, it shapes teachers who carry both academic excellence and a spirit of service into their classrooms.",jamia-training-college-thiruvananthapuram,0,http://www.jamiaanc.org/,,INR 20k-40k ($240-480),0,"The college's inclusive campus features a well-maintained library, interactive seminar halls for collaborative learning, and open sports grounds — creating a warm, community-driven educational environment where every student-teacher is valued, supported, and empowered to grow into a truly impactful educator.",100,15,0,0,,,,http://www.jamiaanc.org/,0,1
,"HH Marthoma Mathews Training College Thiruvananthapuram, India",356,"HH Marthoma Mathews Training College is a respected Marthoma Church B.Ed. teacher training institution affiliated to the University of Kerala, carrying the church's proud tradition of faith, scholarship, and service into teacher education. Located in Thiruvananthapuram, it prepares committed educators who bring both knowledge and character into classrooms across Kerala.",hh-marthoma-mathews-training-college-thiruvananthapuram,0,,,INR 20k-40k ($240-480),0,"The college's faith-centred campus provides a comprehensive library, well-designed seminar halls for reflective teaching practice, and open sports grounds — creating an inspiring environment where aspiring teachers are formed in both academic competence and the compassionate, values-driven spirit that the Marthoma tradition embodies.",100,15,0,0,,,,https://dce.kerala.gov.in,0,1
,"Govt. Polytechnic College Nedumangad, India",356,"Govt. Polytechnic College Nedumangad is a trusted government technical institution offering rigorous diploma engineering programmes that have equipped generations of skilled workers for Kerala's thriving industrial sector. Located in Nedumangad, Thiruvananthapuram, it provides a robust technical education in a supportive, government-backed environment that remains accessible and career-focused.",govt-polytechnic-college-nedumangad,0,http://www.gptcndm.org/,,INR 10k-20k ($120-240),0,"The college's well-maintained campus features hands-on engineering workshops, modern technical labs, a comprehensive library, and open sports grounds — creating a balanced learning environment where technical mastery and physical well-being go hand in hand, and every graduate emerges ready to make their mark in industry.",400,20,0,0,,,,http://www.gptcndm.org/,0,1
,"Govt. Women's Polytechnic College Thiruvananthapuram, India",356,"Govt. Women's Polytechnic College Thiruvananthapuram is a pioneering government institution dedicated exclusively to empowering women through diploma engineering education. Located in the heart of Thiruvananthapuram, it has been a landmark of women's technical empowerment in Kerala — breaking barriers and building confident, career-ready women engineers since its establishment.",govt-womens-polytechnic-college-thiruvananthapuram,0,http://www.gwptctvm.org/,,INR 10k-20k ($120-240),0,"The college's all-women campus provides a safe, empowering, and supportive academic environment, featuring modern workshops, advanced technical labs, a resourceful library, and sports grounds — cultivating a generation of women engineers who are technically brilliant, self-assured, and ready to lead in industry with equal capability and confidence.",400,20,0,0,,,,http://www.gwptctvm.org/,0,1
,"MG College of Engineering Thiruvananthapuram, India",356,"MG College of Engineering is a reputed self-financing engineering institution affiliated to APJ Abdul Kalam Technological University, offering B.Tech programmes with a strong emphasis on technical rigour and industry relevance. Located in Thiruvananthapuram, it has consistently produced competent engineers who contribute meaningfully to Kerala's growing technology and infrastructure landscape.",mg-college-of-engineering-thiruvananthapuram,0,http://www.mgce.ac.in/,,INR 60k-1.2L ($720-1440),0,"The college's active campus features modern engineering labs, a comprehensive technical library, wide sports grounds, and a welcoming canteen — creating a dynamic student environment where academic excellence, team spirit, and professional development combine to prepare graduates for successful engineering careers.",500,18,0,0,,,,http://www.mgce.ac.in/,0,1
,"LMS Training College Thiruvananthapuram, India",356,"LMS Training College is a historic London Mission Society B.Ed. teacher training institution affiliated to the University of Kerala, carrying a proud legacy of educational mission and service. Located in Thiruvananthapuram, its B.Ed. programme reflects a tradition of academic quality, inclusive values, and the deep belief that great teachers change the world.",lms-training-college-thiruvananthapuram,0,http://www.lmstcollege.ac.in/,,INR 20k-40k ($240-480),0,"The college's historic campus offers a well-stocked library, engaging seminar halls, and open sports grounds — providing student-teachers a nurturing, value-centred environment where they develop the academic skills, professional identity, and passionate commitment to education that will define their careers as lifelong educators.",100,15,0,0,,,,http://www.lmstcollege.ac.in/,0,1
,"Sree Narayana Training College Thiruvananthapuram, India",356,"Sree Narayana Training College is a dedicated SNDP Yogam B.Ed. teacher training institution affiliated to the University of Kerala, committed to the vision of Sree Narayana Guru — that education is the greatest instrument of human liberation. Located in Thiruvananthapuram, it prepares educators who carry that transformative ideal into every classroom they enter.",sree-narayana-training-college-thiruvananthapuram,0,http://www.sncollegeofeducation.org/,,INR 20k-40k ($240-480),0,"The college's community-rooted campus features a comprehensive library, well-appointed seminar halls, and open sports grounds — creating a nurturing environment where student-teachers are developed into empowered, socially conscious educators who understand that their greatest role is to open minds and unlock the potential of every child.",100,15,0,0,,,,http://www.sncollegeofeducation.org/,0,1
,"Mount Tabor Training College Thiruvananthapuram, India",356,"Mount Tabor Training College is a distinguished Catholic B.Ed. teacher training institution affiliated to the University of Kerala, rooted in the tradition of the Syro-Malankara Catholic Church and its commitment to faith, scholarship, and service. Located in Thiruvananthapuram, it nurtures future teachers to be not just knowledgeable, but compassionate and purposeful in their calling.",mount-tabor-training-college-thiruvananthapuram,0,http://www.mounttabor.net/,,INR 20k-40k ($240-480),0,"The college's peaceful, faith-centred campus provides a well-stocked library, thoughtfully designed seminar halls, and welcoming sports grounds — creating a warm and spiritually enriching environment where aspiring teachers grow not only in professional skill but in the wisdom, empathy, and dedication that define truly great educators.",100,15,0,0,,,,http://www.mounttabor.net/,0,1
,"Mar Gregorious BEd College Thiruvananthapuram, India",356,"Mar Gregorious B.Ed. College is a respected Orthodox Christian teacher training institution affiliated to the University of Kerala, shaped by the spiritual heritage and educational vision of the Malankara Orthodox Syrian Church. Located in Thiruvananthapuram, it offers the B.Ed. programme with a commitment to forming teachers of deep academic preparation and genuine human values.",mar-gregorious-bed-college-thiruvananthapuram,0,,,INR 20k-40k ($240-480),0,"The college's reflective campus offers a well-maintained library, interactive seminar halls, and open sports grounds — fostering a close-knit community of student-teachers who are nurtured in both scholarly rigour and the Christian tradition of service, equipping them to inspire, include, and uplift every student they will teach.",100,15,0,0,,,,https://dce.kerala.gov.in,0,1
,"KNMS Training College Thiruvananthapuram, India",356,"KNMS Training College is a dedicated private B.Ed. teacher training institution affiliated to the University of Kerala, committed to providing aspiring teachers with a comprehensive, practice-oriented preparation for their professional journey. Located in Thiruvananthapuram, it combines strong academic content with meaningful teaching practice to produce educators of real effectiveness and confidence.",knms-training-college-thiruvananthapuram,0,,,INR 20k-40k ($240-480),0,"The college's supportive campus features a well-curated library, engaging seminar halls for collaborative learning, and open sports grounds — providing a positive, focused academic environment where student-teachers discover their pedagogical strengths, refine their practice, and build the professional identity of the transformative educators they aspire to become.",100,15,0,0,,,,https://dce.kerala.gov.in,0,1
,"Dr. Palpu Memorial BEd College Thiruvananthapuram, India",356,"Dr. Palpu Memorial B.Ed. College is a proud private teacher training institution affiliated to the University of Kerala, established in memory of the great social reformer Dr. Palpu whose fight for dignity and equality transformed Kerala's social fabric. Located in Thiruvananthapuram, it prepares educators who carry forward that legacy through the transformative power of teaching.",dr-palpu-memorial-bed-college-thiruvananthapuram,0,https://www.drpalpumemorial.org/,,INR 20k-40k ($240-480),0,"The college's inclusive campus features a well-stocked library, engaging seminar halls, and open sports grounds — creating a nurturing, socially conscious training environment where aspiring teachers are prepared not only to educate but to uplift, inspire, and create lasting positive change in the lives of every child they teach.",100,15,0,0,,,,https://www.drpalpumemorial.org/,0,1
,"Saraswathi College of Arts and Science Thiruvananthapuram, India",356,"Saraswathi College of Arts and Science is a vibrant self-financing institution affiliated to the University of Kerala, named in honour of Saraswati — the goddess of knowledge, arts, and wisdom. Located in Thiruvananthapuram, it offers BA, B.Sc., and B.Com programmes that inspire students to pursue learning with curiosity, creativity, and a genuine love for their chosen fields.",saraswathi-college-of-arts-science-thiruvananthapuram,0,http://www.saraswathicollegetvm.org/,,INR 10k-25k ($120-300),0,"The college's warm and welcoming campus offers modern science labs, a well-resourced library, active sports grounds, and a friendly canteen — creating an academic community where students are celebrated for their individuality, supported in their ambitions, and prepared with the knowledge and confidence to pursue careers they truly love.",400,20,0,0,,,,http://www.saraswathicollegetvm.org/,0,1
,"Marian College of Arts and Science Thiruvananthapuram, India",356,"Marian College of Arts and Science is a distinguished Catholic institution affiliated to the University of Kerala, offering BA, B.Sc., and B.Com programmes within a tradition of Marian values — faith, grace, service, and excellence. Located in Thiruvananthapuram, it nurtures students who are as morally grounded as they are academically accomplished.",marian-college-of-arts-science-thiruvananthapuram,0,https://mcas.ac.in/,,INR 10k-25k ($120-300),0,"The college's faith-inspired campus features modern science labs, a comprehensive library, energising sports grounds, and a vibrant canteen — cultivating a warm, inclusive student community where academic success, personal growth, and a spirit of generous service to others are celebrated and encouraged in equal measure.",400,20,0,0,,,,https://mcas.ac.in/,0,1
,"Bishop Jesudasan CSI Arts and Science College Thiruvananthapuram, India",356,"Bishop Jesudasan CSI Arts and Science College is a distinguished CSI-managed institution affiliated to the University of Kerala, named in honour of the renowned social reformer and educational visionary Bishop Jesudasan. Located in Thiruvananthapuram, it offers BA, B.Sc., and B.Com programmes that combine academic excellence with the CSI tradition of inclusive, value-based education.",bishop-jesudasan-csi-arts-science-thiruvananthapuram,0,http://www.bjcsicas.ac.in/,,INR 10k-25k ($120-300),0,"The college's welcoming campus offers modern science labs, a well-stocked library, and open sports grounds — creating an inclusive, values-driven academic environment where students from all backgrounds are treated with dignity, empowered with knowledge, and inspired to contribute meaningfully to a fairer, more just society.",350,20,0,0,,,,http://www.bjcsicas.ac.in/,0,1
,"Santhom Mariya Arts and Science College Thiruvananthapuram, India",356,"Santhom Mariya Arts and Science College is a vibrant Catholic institution affiliated to the University of Kerala, offering BA, B.Sc., and B.Com programmes in the spirit of Marian devotion, academic excellence, and joyful community. Located in Thiruvananthapuram, it nurtures graduates who are intellectually capable, spiritually rooted, and socially aware.",santhom-mariya-arts-science-thiruvananthapuram,0,http://santhomcollege.ac.in/,,INR 10k-25k ($120-300),0,"The college's lively campus features modern science labs, a comprehensive library, open sports grounds, and a welcoming canteen — creating an uplifting, community-centred academic atmosphere where students learn together, grow together, and graduate as well-rounded individuals ready to serve and succeed in a diverse and changing world.",350,20,0,0,,,,http://santhomcollege.ac.in/,0,1
,"Sai Gramam Arts and Science College Thiruvananthapuram, India",356,"Sai Gramam Arts and Science College is a committed private institution affiliated to the University of Kerala, offering BA, B.Sc., and B.Com programmes in an environment that values both learning and the holistic development of every student. Located in Thiruvananthapuram, it provides a welcoming academic home for students seeking quality education with strong personal support.",sai-gramam-arts-science-thiruvananthapuram,0,http://saigramam.org/,,INR 10k-25k ($120-300),0,"The college's nurturing campus features well-equipped science labs, a resourceful library, open sports grounds, and a friendly academic community — creating a positive, student-centred environment where knowledge is pursued with enthusiasm and every learner is genuinely encouraged to grow, achieve, and flourish.",300,20,0,0,,,,http://saigramam.org/,0,1
,"College of Applied Science IHRD Dvpm Thiruvananthapuram, India",356,"College of Applied Science (IHRD) Dhanuvachapuram is a government-run applied science institution affiliated to the University of Kerala, under the Institute of Human Resources Development (IHRD). Located in Dhanuvachapuram, Thiruvananthapuram, it offers B.Sc. and BCA programmes that equip students with strong applied science and computing skills for today's knowledge-driven economy.",college-of-applied-science-ihrd-dvpm-thiruvananthapuram,0,https://casdvpm.ihrd.ac.in/,,INR 10k-25k ($120-300),0,"The college's focused campus features well-equipped science labs, a comprehensive library, and a modern computer centre — providing students with a technology-enabled learning environment that builds the analytical, technical, and practical competencies needed to thrive in today's competitive and rapidly evolving professional landscape.",300,20,0,0,,,,https://casdvpm.ihrd.ac.in/,0,1
,"College of Applied Science IHRD Attingal, India",356,"College of Applied Science (IHRD) Attingal is a government-run applied science institution affiliated to the University of Kerala under the Institute of Human Resources Development (IHRD). Situated in Attingal, Thiruvananthapuram, it offers B.Sc. and BCA programmes with a strong applied and practical orientation, preparing students for careers in science, technology, and computing.",college-of-applied-science-ihrd-attingal-thiruvananthapuram,0,https://casattingal.ihrd.ac.in/,,INR 10k-25k ($120-300),0,"The college's purposeful campus features modern science labs, a comprehensive library, and a well-equipped computer centre — creating an accessible, technology-rich learning environment where students from the region gain the skills and qualifications needed to pursue rewarding careers in science and technology with confidence.",300,20,0,0,,,,https://casattingal.ihrd.ac.in/,0,1
,"MGM Polytechnic College Thiruvananthapuram, India",356,"MGM Polytechnic College is a progressive self-financing polytechnic institution affiliated to the State Board of Technical Education (SBTE) Kerala, offering diploma engineering programmes that prepare students for rewarding technical careers. Located in Thiruvananthapuram, it delivers hands-on, industry-relevant technical education that bridges the gap between learning and the world of work.",mgm-polytechnic-college-thiruvananthapuram,0,https://mgmcolleges.com/,,INR 10k-25k ($120-300),0,"The college's practical campus features purpose-built engineering workshops, modern technical labs, a resourceful library, and a lively canteen — creating an engaging, industry-focused learning environment where students master technical skills, develop professional attitudes, and graduate confidently into careers that make an immediate, tangible contribution.",400,20,0,0,,,,https://mgmcolleges.com/,0,1
,"Co-operative College of Nursing Thiruvananthapuram, India",356,"Co-operative College of Nursing is a dedicated nursing institution affiliated to the Kerala University of Health Sciences, committed to producing nurses who combine clinical excellence with the co-operative values of community, solidarity, and service. Located in Thiruvananthapuram, it offers B.Sc. Nursing and GNM programmes that prepare graduates for rewarding careers in healthcare.",co-operative-college-of-nursing-thiruvananthapuram,0,https://www.co-operativenursingcollege.com/,,INR 60k-1L ($720-1200),0,"The college's purposeful campus features modern clinical simulation labs, a comprehensive medical library, comfortable hostel accommodation, and a strong hospital training attachment — immersing students in a complete nursing education experience that develops both the technical skills and the compassionate character that define outstanding nursing professionals.",200,12,0,1,,,,https://www.co-operativenursingcollege.com/,0,1
,"Mother Theresa College of Nursing Thiruvananthapuram, India",356,"Mother Theresa College of Nursing is a dedicated private nursing institution affiliated to the Kerala University of Health Sciences, inspired by the spirit of service and compassion that Mother Teresa embodied. Located in Thiruvananthapuram, it offers B.Sc. Nursing and GNM programmes that build nurses of exceptional clinical skill and unshakeable commitment to patient care.",mother-theresa-college-of-nursing-thiruvananthapuram,0,http://www.mtcn.in/,,INR 60k-1L ($720-1200),0,"The college's nurturing campus features advanced clinical training labs, a comprehensive nursing library, and comfortable hostel facilities — creating a supportive, purpose-driven environment where every student is shaped into a skilled, compassionate healthcare professional who carries the values of empathy and excellence into every patient interaction.",200,12,0,1,,,,http://www.mtcn.in/,0,1
,"KTCT School of Nursing Thiruvananthapuram, India",356,"KTCT School of Nursing is a dedicated nursing institution under the KTCT Trust, affiliated to the Kerala University of Health Sciences. Offering GNM and B.Sc. Nursing programmes, it is committed to producing competent, caring, and professionally excellent nurses for Kerala's growing healthcare sector. Located in Thiruvananthapuram, it is a trusted training ground for the state's nursing workforce.",ktct-school-of-nursing-thiruvananthapuram,0,http://ktctcas.org/,,INR 30k-60k ($360-720),0,"The school's focused campus features modern clinical labs, a comprehensive medical library, comfortable hostel accommodation, and structured hospital attachment — providing nursing students with an immersive, practice-rich educational experience that develops both the technical expertise and the human warmth that make a truly exceptional nurse.",150,12,0,1,,,,http://ktctcas.org/,0,1
,"ER and DCI Institute of Technology Thiruvananthapuram, India",356,"ER and DCI Institute of Technology is a dynamic private engineering institution affiliated to APJ Abdul Kalam Technological University, offering B.Tech programmes with a strong emphasis on practical learning, innovation, and industry alignment. Located in Thiruvananthapuram, it is committed to producing technically proficient, forward-thinking engineers ready for the challenges of a rapidly evolving world.",er-dci-institute-of-technology-thiruvananthapuram,0,https://erdciit.ac.in/,,INR 60k-1.2L ($720-1440),0,"The institute's energetic campus features state-of-the-art engineering labs, a comprehensive technical library, open sports grounds, and a lively canteen — creating a vibrant academic environment where students not only master engineering fundamentals but develop the problem-solving mindset and professional drive that propel successful careers.",400,18,0,0,,,,https://erdciit.ac.in/,0,1
,"Asian School of Business Thiruvananthapuram, India",356,"Asian School of Business (ASB) is a premier AICTE-approved business school offering PGDM and MBA programmes within the vibrant Technopark ecosystem in Thiruvananthapuram — India's first IT park. With deep industry connections and a global perspective, ASB produces business leaders who are analytically sharp, ethically grounded, and ready to thrive in competitive corporate environments.",asian-school-of-business-thiruvananthapuram,0,https://asb.edu.in/,,INR 3L-5L ($3600-6000),0,"ASB's dynamic Technopark campus offers a modern library, state-of-the-art computer labs, high-speed Wi-Fi, and professional seminar halls — placing students at the crossroads of business education and live industry interaction, creating an unparalleled learning environment where management theory meets real-world practice every single day.",300,15,0,0,,,,https://asb.edu.in/,0,1
,"Gulati Institute of Finance and Taxation Thiruvananthapuram, India",356,"Gulati Institute of Finance and Taxation (GIFT) is a prestigious autonomous research and training institute under the Government of Kerala, recognised as one of India's leading centres for public finance, economics, and taxation research. Located in Thiruvananthapuram, it offers PG diploma and certificate programmes that train the state's finest finance and taxation professionals.",gulati-institute-finance-taxation-thiruvananthapuram,0,https://gift.res.in/,,INR 20k-60k ($240-720),0,"GIFT's well-appointed campus features cutting-edge research facilities, thoughtfully designed seminar halls, a rich academic library, and a community of scholars and policymakers — creating an intellectually stimulating environment where economics and public policy are studied with rigour, relevance, and a genuine desire to make governance better.",200,12,0,0,,,,https://gift.res.in/,0,1
,"Centre for Development of Imaging Technology CDIT, India",356,"Centre for Development of Imaging Technology (CDIT) is a leading autonomous government institution under the Government of Kerala, at the forefront of IT, media technology, and digital innovation. Located in Thiruvananthapuram, it offers diploma and certificate programmes in areas that are transforming Kerala's digital landscape — from broadcast technology to artificial intelligence.",centre-development-imaging-technology-cdit-thiruvananthapuram,0,https://cdit.org/,,INR 10k-40k ($120-480),0,"CDIT's forward-looking campus features professional digital studios, high-end technology training labs, and a comprehensive library — creating an innovation-rich environment where students gain the technical skills, creative exposure, and hands-on experience to build exciting careers in the cutting-edge fields of digital media, IT, and emerging technologies.",300,15,0,0,,,,https://cdit.org/,0,1
,"Sree Chitra Thirunal Institute for Medical Sciences Thiruvananthapuram, India",356,"Sree Chitra Thirunal Institute for Medical Sciences and Technology (SCTIMST) is a prestigious Institute of National Importance under the Department of Science and Technology, Government of India, established in 1976. Located in Thiruvananthapuram, it offers MD, M.Sc., and PhD programmes in biomedical sciences and cardiology, renowned globally for its pioneering research in medical devices, biomaterials, and cardiovascular surgery.",sree-chitra-thirunal-institute-thiruvananthapuram,0,https://www.sctimst.ac.in/,,INR 10k-50k ($120-600),0,"SCTIMST's world-class campus is a convergence of cutting-edge medical research and clinical excellence — featuring advanced research labs, a super-specialty hospital, a comprehensive biomedical library, comfortable hostel accommodation, and sports facilities — offering scholars an extraordinary environment where science, innovation, and healing intersect at the highest level.",500,5,5,1,,+914712524230,,https://www.sctimst.ac.in/admissions,0,1
,"Sree Narayana Institute of Technology Thiruvananthapuram, India",356,"Sree Narayana Institute of Technology (SNIT) is a reputed self-financing engineering institution affiliated to APJ Abdul Kalam Technological University, established under the SNDP Yogam with Sree Narayana Guru's vision of empowerment through knowledge. Located in Thiruvananthapuram, it offers B.Tech programmes that develop confident, capable engineers ready for industry and innovation.",sree-narayana-institute-of-technology-thiruvananthapuram,0,https://snit.edu.in/,,INR 60k-1.2L ($720-1440),0,"The institute's vibrant campus features advanced engineering labs, a comprehensive technical library, sports grounds for recreation and competition, comfortable hostel accommodation, and a lively canteen — creating a well-rounded academic environment where students grow as engineers, as professionals, and as individuals inspired by the ideals of their great founder.",600,18,0,1,,,,https://snit.edu.in/,0,1
,"Musaliar College of Engineering Thiruvananthapuram, India",356,"Musaliar College of Engineering is a progressive self-financing engineering institution affiliated to APJ Abdul Kalam Technological University, committed to delivering engineering education of the highest quality. Located in Thiruvananthapuram, its B.Tech programmes are designed to equip students with both the technical depth and professional skills needed to excel in today's dynamic engineering landscape.",musaliar-college-of-engineering-thiruvananthapuram,0,https://musaliarcollege.ac.in/,,INR 60k-1.2L ($720-1440),0,"The college's well-equipped campus features advanced labs, a comprehensive library, wide sports grounds, comfortable hostel facilities, and a welcoming canteen — building a supportive and aspirational academic community where engineering students develop the skills, resilience, and collaborative mindset that define successful careers in industry and innovation.",500,18,0,1,,,,https://musaliarcollege.ac.in/,0,1
,"Vidya Academy of Science and Technology Thiruvananthapuram, India",356,"Vidya Academy of Science and Technology is a distinguished self-financing engineering institution affiliated to APJ Abdul Kalam Technological University, dedicated to academic excellence, innovation, and the holistic development of engineering talent. Located in Thiruvananthapuram, it offers B.Tech and M.Tech programmes built on rigorous academics and strong industry engagement.",vidya-academy-science-technology-thiruvananthapuram,0,https://vidyatvm.ac.in/,,INR 60k-1.2L ($720-1440),0,"The academy's well-resourced campus features state-of-the-art engineering labs, a comprehensive technical library, energising sports grounds, comfortable hostel facilities, and a vibrant canteen — providing students with a complete, inspiring academic experience that builds the knowledge, skills, and professional character of truly excellent engineers.",600,18,0,1,,,,https://vidyatvm.ac.in/,0,1
,"Sree Narayana Guru College Sivagiri, India",356,"Sree Narayana Guru College Sivagiri is a distinguished arts and science institution affiliated to the University of Kerala, located at the spiritually significant Sivagiri, Varkala — the sacred samadhi site of the great social reformer Sree Narayana Guru himself. Managed by the SNDP Yogam, it offers BA, B.Sc., and B.Com programmes in an institution that is as much a symbol of social equality as it is a centre of academic excellence.",sree-narayana-guru-college-sivagiri,0,http://sncvarkala.edu.in/,,INR 5k-20k ($60-240),0,"The college's unique campus, nestled in the sacred landscape of Sivagiri, features a comprehensive library, modern science labs, open sports grounds, and a welcoming canteen — creating an academic community infused with the spirit of Sree Narayana Guru's timeless message: that knowledge, compassion, and equality are the foundation of a truly humane and just society.",600,20,0,0,,,,http://sncvarkala.edu.in/,0,1
,"St. John's Training College Thiruvananthapuram, India",356,"St. John's Training College is a respected Christian B.Ed. teacher training institution affiliated to the University of Kerala, committed to forming educators of sound knowledge, strong character, and genuine passion for the teaching profession. Located in Thiruvananthapuram, it offers the B.Ed. programme within a tradition of academic quality, faith, and service to the wider community.",st-johns-training-college-thiruvananthapuram,0,http://www.stjohnstrainingcollege.ac.in/,,INR 20k-40k ($240-480),0,"The college's welcoming campus features a well-stocked library, engaging seminar halls designed for reflective teaching practice, and refreshing sports grounds — creating an encouraging, faith-centred environment where student-teachers discover their educational calling and develop the skills, confidence, and compassion to inspire every student they will teach.",100,15,0,0,,,,http://www.stjohnstrainingcollege.ac.in/,0,1
,"Bharat Engineering Institute Thiruvananthapuram, India",356,"Bharat Engineering Institute is a dedicated private engineering and technology training institution offering diploma and certificate courses designed to give students practical, career-ready technical skills. Located in Thiruvananthapuram, it is committed to making quality technical education accessible and building a skilled workforce that contributes to Kerala's and India's growing industrial economy.",bharat-engineering-institute-thiruvananthapuram,0,http://bharatengineeringinstitute.com/,,INR 10k-30k ($120-360),0,"The institute's hands-on campus features purpose-built engineering workshops, modern technical labs, and a resourceful library — creating a focused, practical training environment where students gain the technical confidence and real-world skills needed to step directly into productive, rewarding careers in engineering and technology.",200,20,0,0,,,,http://bharatengineeringinstitute.com/,0,1
,"Food Craft Institute Thiruvananthapuram, India",356,"Food Craft Institute (FCI) Thiruvananthapuram is a premier government food and hospitality training institution under the Kerala Tourism department, dedicated to producing the skilled culinary and hospitality professionals who power Kerala's globally celebrated tourism industry. Located in Thiruvananthapuram, it offers diploma and certificate courses in food production and hospitality that combine technical excellence with Kerala's legendary tradition of warmth and hospitality.",food-craft-institute-thiruvananthapuram,0,https://fcitvm.org/,,INR 10k-30k ($120-360),0,"FCI's vibrant campus features professional training kitchens equipped to industry standards, specialised culinary labs, and a comprehensive library — creating an immersive, practical learning environment where students not only master the art and science of food but develop the professional finesse and cultural pride that Kerala's world-renowned hospitality industry demands.",300,15,0,0,,,,https://fcitvm.org/,0,1
,"KNMS BEd College Thiruvananthapuram, India",356,"KNMS B.Ed. College is a dedicated private teacher training institution affiliated to the University of Kerala, offering the B.Ed. programme with a focus on producing skilled, reflective, and student-centred educators. Located in Thiruvananthapuram, it is committed to the belief that quality teacher education is the foundation of a quality education system.",knms-bed-college-thiruvananthapuram,0,http://www.knmscollege.in/,,INR 20k-40k ($240-480),0,"The college's supportive campus features a well-maintained library, engaging seminar halls for collaborative pedagogy, and an open playground for recreation — providing student-teachers with a balanced, focused training environment where they develop the academic expertise, pedagogical creativity, and personal confidence that will define them as outstanding educators.",100,15,0,0,,,,http://www.knmscollege.in/,0,1
,"Maikon Teacher Training Institute Thiruvananthapuram, India",356,"Maikon Teacher Training Institute is a progressive private institution offering B.Ed. and D.El.Ed. programmes designed to develop skilled, innovative, and ethically grounded educators for Kerala's classrooms. Located in Thiruvananthapuram, it embraces a student-centred philosophy of teacher education that ensures every graduate enters the profession confident, capable, and truly ready to make a difference.",maikon-teacher-training-institute-thiruvananthapuram,0,http://www.maikon.in/,,INR 20k-40k ($240-480),0,"The institute's engaging campus provides a well-resourced library, interactive seminar halls designed for collaborative and reflective teaching practice — creating a dynamic educational environment where aspiring teachers explore, question, and discover the teaching approaches and personal values that will make them truly inspiring educators.",100,15,0,0,,,,http://www.maikon.in/,0,1
,"Mar Ivanios BEd College Thiruvananthapuram, India",356,"Mar Ivanios B.Ed. College is a distinguished Orthodox Syrian Catholic teacher training institution affiliated to the University of Kerala, carrying the legacy and educational vision of Blessed Mar Ivanios — a visionary church leader and champion of education. Located in Thiruvananthapuram, it offers the B.Ed. programme within a tradition of faith, academic excellence, and joyful service.",mar-ivanios-bed-college-thiruvananthapuram,0,,,INR 20k-40k ($240-480),0,"The college's faith-centred campus features a well-stocked library, thoughtfully designed seminar halls for reflective teaching practice, and open sports grounds — nurturing a community of student-teachers who are shaped by both scholarly rigour and the deeply humanistic, inclusive values that Blessed Mar Ivanios championed throughout his remarkable life.",100,15,0,0,,,,https://dce.kerala.gov.in,0,1
,"White Memorial Nursing College Thiruvananthapuram, India",356,"White Memorial Nursing College is a distinguished CSI nursing institution affiliated to the Kerala University of Health Sciences, committed to producing nurses of outstanding clinical skill, ethical integrity, and genuine compassion. Located in Thiruvananthapuram, it offers B.Sc. Nursing and GNM programmes within the CSI tradition of service to the sick and vulnerable.",white-memorial-nursing-college-thiruvananthapuram,0,http://www.whitememorialcollege.org/,,INR 60k-1L ($720-1200),0,"The college's purposeful campus features modern clinical simulation labs, a well-resourced nursing library, comfortable hostel accommodation, and strong hospital attachment partnerships — creating a deeply immersive, values-driven training environment where every nursing student is prepared to serve with both professional excellence and a caring human heart.",200,12,0,1,,,,http://www.whitememorialcollege.org/,0,1
,"KVM College of Nursing Thiruvananthapuram, India",356,"KVM College of Nursing is a dedicated private nursing institution affiliated to the Kerala University of Health Sciences, committed to educating nursing professionals who combine technical mastery with exceptional patient empathy. Located in Thiruvananthapuram, its B.Sc. Nursing programme provides a thorough, practice-oriented education that prepares graduates for healthcare careers of real impact and meaning.",kvm-college-of-nursing-thiruvananthapuram,0,https://www.kvmcn.in/,,INR 60k-1L ($720-1200),0,"The college's supportive campus features advanced clinical training labs, a comprehensive nursing library, and comfortable hostel accommodation — providing every nursing student a nurturing, focused academic environment where they develop the clinical confidence, professional skills, and compassionate outlook that great nursing demands.",200,12,0,1,,,,https://www.kvmcn.in/,0,1
,"Child Development Centre Kerala Thiruvananthapuram, India",356,"Child Development Centre (CDC) Kerala is a pioneering autonomous paediatric rehabilitation and research centre under the Government of Kerala, recognised as one of South Asia's leading institutions for childhood disability and development. Located in Thiruvananthapuram, it offers M.Sc. and diploma programmes in child development and rehabilitation, training specialists who transform the lives of children with developmental challenges.",child-development-centre-kerala-thiruvananthapuram,0,https://cdckerala.org/,,INR 10k-40k ($120-480),0,"CDC's unique campus houses specialist clinical units, advanced therapy labs, a comprehensive research library, and a multidisciplinary team of experts — creating an extraordinary learning environment where science, compassion, and the sheer determination to improve the lives of children with disabilities converge in remarkable and life-changing ways.",200,8,0,0,,,,https://cdckerala.org/,0,1
